,scene_num,what,who,directions
417,92,direction,,
418,92,direction,,
419,92,direction,,
420,92,direction,,
421,92,dialog,COOPER,
422,92,direction,,
423,92,direction,,
424,92,dialog,MURPH,
425,92,dialog,COOPER,
426,92,direction,,
427,92,direction,,
428,92,dialog,COOPER,(CONT'D)
429,92,dialog,MURPH,
430,92,dialog,COOPER,
431,92,direction,,
432,92,direction,,
433,92,direction,,
434,92,direction,,
435,92,direction,,
436,92,dialog,ROBOT,
437,92,dialog,COOPER,(IGNORING HIM)
438,92,direction,,
439,92,direction,,
440,92,direction,,
441,92,dialog,COOPER,
442,92,dialog,BRAND,
443,92,dialog,COOPER,
444,92,dialog,BRAND,(TO ROBOT)
445,92,direction,,
446,92,dialog,COOPER,
447,92,dialog,BRAND,
448,92,direction,,
449,92,dialog,BRAND,(CONT'D)
450,92,direction,,
451,92,dialog,TARS,
452,92,dialog,COOPER,(points at Tars)
453,92,dialog,BRAND,
454,92,direction,,
455,92,direction,,
456,92,dialog,COOPER,
457,92,direction,,
458,92,dialog,BRAND,(MORE)
459,92,dialog,BRAND,(CONT'D);(points rifle at Cooper)
460,92,direction,,
461,93,scene,,
462,94,direction,,
463,94,dialog,COOPER,
464,94,dialog,BRAND,
465,94,dialog,COOPER,
466,94,direction,,
467,95,scene,,
468,96,direction,,
469,96,direction,,
470,96,dialog,COOPER,
471,96,dialog,BRAND,(WRY);(gestures with rifle)
472,96,direction,,
473,96,direction,,
474,96,dialog,BRAND,(CONT'D)
475,96,direction,,
476,96,dialog,OLD ENGINEER,
477,96,dialog,COOPER,
478,96,dialog,BRAND'S FATHER,(thinking it over)
479,96,direction,,
480,96,dialog,COOPER,
481,96,direction,,
482,96,direction,,
483,96,dialog,DOYLE,
484,96,direction,,
485,96,dialog,BRAND,
486,96,dialog,COOPER,
487,96,direction,,
488,96,dialog,COOPER,(CONT'D);(TO BRAND)
489,96,direction,,
490,96,dialog,OLD ENGINEER,
491,96,direction,,
492,96,dialog,COOPER,
493,96,direction,,
494,96,direction,,
495,96,direction,,
496,96,direction,,
497,96,dialog,DOYLE,(READING);(READING);(EXCITED)
498,96,direction,,
499,96,dialog,COOPER,
500,96,direction,,
501,96,dialog,BRAND,
502,96,dialog,COOPER,
503,96,dialog,BRAND,
504,96,dialog,COOPER,
505,96,direction,,
506,96,dialog,COOPER,(CONT'D)
507,96,dialog,DOYLE,
508,96,dialog,COOPER,
509,96,dialog,BRAND,
510,96,dialog,COOPER,(SMILES)
511,96,direction,,
512,97,scene,,
513,98,direction,,
514,98,direction,,
515,98,dialog,COOPER,
516,98,dialog,TARS,(SHRUGS)
517,98,direction,,
518,98,direction,,
519,98,direction,,
520,98,dialog,MURPH,
521,98,dialog,COOPER,(nods at Tars)
522,98,direction,,
523,98,direction,,
524,98,dialog,BRAND,
525,98,direction,,
526,99,scene,,
527,100,direction,,
528,100,dialog,COOPER,
529,100,dialog,BRAND,(ANNOYED)
530,100,dialog,COOPER,
531,100,dialog,BRAND,
532,100,dialog,COOPER,(LAUGHS);(off her look)
533,100,direction,,
534,100,direction,,
535,100,dialog,CASE,(off his look)
536,100,direction,,
537,101,scene,,
538,102,direction,,
539,102,dialog,CASE,
540,102,direction,,
541,102,dialog,CASE,(CONT'D)
542,102,direction,,
543,102,dialog,CASE,(CONT'D);(MORE)
544,102,dialog,CASE,(CONT'D)
545,102,direction,,
546,102,dialog,BRAND'S FATHER,
547,102,direction,,
548,102,direction,,
549,102,direction,,
550,102,dialog,CASE,
551,102,dialog,COOPER,
552,102,dialog,CASE,
553,102,direction,,
554,102,dialog,COOPER,
555,102,dialog,CASE,
556,102,direction,,
557,102,dialog,CASE,(CONT'D);(MORE)
558,102,dialog,CASE,(CONT'D)
559,102,direction,,
560,102,dialog,CASE,(CONT'D)
561,102,dialog,COOPER,
562,102,direction,,
563,102,dialog,CASE,(BEAT)
564,102,direction,,
565,102,dialog,COOPER,
566,102,direction,,
567,102,dialog,COOPER,(CONT'D)
568,102,direction,,
569,102,dialog,CASE,
570,102,direction,,
571,102,dialog,CASE,(CONT'D)
572,102,direction,,
573,102,dialog,COOPER,
574,103,scene,,
575,104,direction,,
576,104,direction,,
577,105,scene,,
578,106,direction,,
579,106,direction,,
580,106,dialog,COOPER,
581,106,dialog,BRAND,
582,106,direction,,
583,106,dialog,COOPER,
584,106,dialog,BRAND,(BEAT)
585,106,direction,,
586,106,dialog,COOPER,(REALIZING)
587,106,dialog,BRAND,(shakes her head);(LOOKS AWAY)
588,106,direction,,
589,106,dialog,COOPER,
590,106,dialog,BRAND,
591,106,direction,,
592,106,dialog,COOPER,(QUIET)
593,106,dialog,BRAND,
594,106,dialog,COOPER,
595,106,dialog,BRAND,
596,106,direction,,
597,106,dialog,BRAND,(CONT'D);(BEAT)
598,106,direction,,
599,107,scene,,
600,108,direction,,
601,108,direction,,
602,108,direction,,
603,109,scene,,
604,110,direction,,
605,111,scene,,
606,112,direction,,
607,113,scene,,
608,114,direction,,
609,114,dialog,DONALD,(LOOKS DOWN)
610,114,direction,,
611,114,dialog,DONALD,(CONT'D)
612,114,dialog,COOPER,
613,114,dialog,DONALD,
614,114,dialog,COOPER,
615,114,dialog,DONALD,
616,114,direction,,
617,115,scene,,
618,116,direction,,
619,116,direction,,
620,117,scene,,
621,118,direction,,
622,118,direction,,
623,118,dialog,MURPH,
624,118,dialog,COOPER,
625,118,dialog,MURPH,(DISTRAUGHT)
626,118,direction,,
627,118,dialog,COOPER,
628,118,direction,,
629,118,dialog,COOPER,(CONT'D)
630,118,direction,,
631,118,dialog,MURPH,
632,118,dialog,COOPER,
633,118,direction,,
634,118,direction,,
635,119,scene,,
636,120,direction,,
637,120,direction,,
638,120,direction,,
639,120,dialog,COOPER,
640,120,dialog,TARS,(SHRUGS)
641,120,direction,,
642,120,dialog,DOYLE,
643,120,dialog,COOPER,
644,120,dialog,TARS,
645,120,direction,,
646,120,dialog,COOPER,
647,120,dialog,TARS,
648,120,direction,,
649,120,direction,,
650,121,scene,,
651,122,direction,,
652,122,direction,,
653,122,dialog,BRAND,
654,122,direction,,
655,123,scene,,
656,124,direction,,
657,124,dialog,COOPER,
658,124,dialog,BRAND,
659,124,direction,,
660,124,dialog,BRAND,(CONT'D);(off his look)
661,124,direction,,
662,124,dialog,COOPER,
663,124,dialog,BRAND,(UNIMPRESSED);(PATIENT)
664,124,direction,,
665,124,direction,,
666,125,scene,,
667,126,direction,,
668,126,direction,,
669,126,direction,,
670,126,direction,,
671,126,direction,,
672,127,scene,,
673,128,direction,,
