"well.name","SampledDate","SampleNumber","ParameterName","ParameterUnits","result","Method.Detection.Limit","Reporting.limit","censoring.status","Easting","Northing"
"MW-9-1996",2020-07-07,"WW01665","Zinc","µg/L",0.355,NA,NA,"left.censored",4217256.3,909769.900000009
"MW-13-2018",2020-07-07,"WW01670","ChemicalOxygenDemand","mg/L",20,5,5,"not.censored",4218262.9,910814.599999998
"MW-12-1996",2020-07-07,"WW01656","Chloride","mg/L",23,0.5,0.5,"not.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","Chloride","mg/L",4.5,0.5,0.5,"not.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","Chloride","mg/L",3.3,0.5,0.5,"not.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","Chloride","mg/L",7.3,0.5,0.5,"not.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","Chloride","mg/L",4.5,0.5,0.5,"not.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","Chloride","mg/L",7.3,0.5,0.5,"not.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","Chloride","mg/L",4.9,0.5,0.5,"not.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","Chloride","mg/L",16,0.5,0.5,"not.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","Chloride","mg/L",0.7,0.5,0.5,"not.censored",4217256.3,909769.900000009
"MW-15-1988",2020-07-07,"WW01666","Chloride","mg/L",9.4,0.5,0.5,"not.censored",4217592.3,909964.400000006
"MW-19-1988",2020-07-07,"WW01667","Chloride","mg/L",8.4,0.5,0.5,"not.censored",4217612.7,910364.200000005
"MW-19A-1988",2020-07-07,"WW01668","Chloride","mg/L",2.1,0.5,0.5,"not.censored",4217612.3,910354.099999997
"MW-13A-1988",2020-07-07,"WW01669","Chloride","mg/L",5.4,0.5,0.5,"not.censored",4218304.4,910813.2
"MW-13-2018",2020-07-07,"WW01670","Chloride","mg/L",2.8,0.5,0.5,"not.censored",4218262.9,910814.599999998
"MW-9-1996",2020-07-07,"WW01665","Chloride","mg/L",0.7,NA,NA,"not.censored",4217256.3,909769.900000009
"MW-12-1996",2020-07-07,"WW01656","Chromium","µg/L",0.55,0.0176,0.05,"not.censored",4219546.5,908262.299999999
"MW-22-1988",2020-07-07,"WW01657","Chromium","µg/L",0.263,0.0176,0.05,"not.censored",4218563.1,908764.299999998
"MW-10-1996",2020-07-07,"WW01658","Chromium","µg/L",0.271,0.0176,0.05,"not.censored",4217879.6,908303.200000001
"MW-21-1988",2020-07-07,"WW01659","Chromium","µg/L",0.335,0.0176,0.05,"not.censored",4218063,908984.000000007
"MW-11-1996",2020-07-07,"WW01660","Chromium","µg/L",0.309,0.0176,0.05,"not.censored",4217227.5,908744.700000003
"MW-16-1988",2020-07-07,"WW01661","Chromium","µg/L",0.419,0.0176,0.05,"not.censored",4217592.7,909113.699999994
"MW-17-1988",2020-07-07,"WW01662","Chromium","µg/L",1.04,0.0176,0.05,"not.censored",4219020.1,910332.999999999
"MW-20-1988",2020-07-07,"WW01663","Chromium","µg/L",0.443,0.0176,0.05,"not.censored",4217582.6,909533.999999998
"MW-9-1996",2020-07-07,"WW01664","Chromium","µg/L",0.462,0.0176,0.05,"not.censored",4217256.3,909769.900000009
